user_species,signal,n,rate
all,flag_entropy,0,0.0
all,flag_conformal,0,0.0
all,flag_low_probability,0,0.0
all,flag_non_normal,0,0.0
all,flag_zoonotic,0,0.0
all,flag_herd_health,0,0.0
all,flag_image_quality,0,0.0
Cat,flag_entropy,0,0.0
Cat,flag_conformal,0,0.0
Cat,flag_low_probability,0,0.0
Cat,flag_non_normal,0,0.0
Cat,flag_zoonotic,0,0.0
Cat,flag_herd_health,0,0.0
Cat,flag_image_quality,0,0.0
Cattles,flag_entropy,0,0.0
Cattles,flag_conformal,0,0.0
Cattles,flag_low_probability,0,0.0
Cattles,flag_non_normal,0,0.0
Cattles,flag_zoonotic,0,0.0
Cattles,flag_herd_health,0,0.0
Cattles,flag_image_quality,0,0.0
Dog,flag_entropy,0,0.0
Dog,flag_conformal,0,0.0
Dog,flag_low_probability,0,0.0
Dog,flag_non_normal,0,0.0
Dog,flag_zoonotic,0,0.0
Dog,flag_herd_health,0,0.0
Dog,flag_image_quality,0,0.0
