cohort,referral,n,fraction,accuracy,accuracy_ci_low,accuracy_ci_high,macro_f1
val,educational_only,285,0.11216056670602124,0.9964912280701754,0.9894736842105263,1.0,0.7492211838006231
val,vet_recommended,1499,0.5899252262888627,0.9893262174783188,0.9839893262174784,0.9939959973315544,0.9405526970564072
val,vet_required,757,0.2979142070051161,0.9062087186261559,0.8863936591809776,0.9260568031704095,0.7868014404754995
val,all,2541,1.0,0.9653679653679653,0.9582743014561196,0.9728453364817001,0.9659745164629818
internal_test,educational_only,280,0.11014948859166011,0.9928571428571429,0.9821428571428571,1.0,0.5968604516948174
internal_test,vet_recommended,1511,0.59441384736428,0.9953673064195897,0.9920582395764395,0.99867637326274,0.9467226183853436
internal_test,vet_required,751,0.29543666404405977,0.9241011984021305,0.9041278295605859,0.9427430093209055,0.8153197910169606
internal_test,all,2542,1.0,0.9740361919748229,0.9673485444531865,0.980330448465775,0.9785101345543927
development_external,educational_only,170,0.12583271650629163,0.9941176470588236,0.9823529411764705,1.0,0.748898678414097
development_external,vet_recommended,374,0.2768319763138416,0.893048128342246,0.8609625668449198,0.9224598930481284,0.8034537722854734
development_external,vet_required,807,0.5973353071798667,0.7063197026022305,0.6740706319702602,0.7360594795539034,0.7020133648192426
development_external,all,1351,1.0,0.7942264988897113,0.7734641006661732,0.8149703923019984,0.8149178808947923
