cohort,coverage,n_retained,p_threshold_min_retained,accuracy,macro_f1
val,1.0,2541,0.2928267472381711,0.9653679653679653,0.9659745164629818
val,0.9,2287,0.9472147944136092,0.989505902929602,0.9899206940742618
val,0.8,2033,0.9739839713844664,0.9936055090998525,0.9941565722092798
val,0.7,1779,0.9816272297907724,0.9949409780775716,0.9958460995380843
internal_test,1.0,2542,0.2583681422181421,0.9740361919748229,0.9785101345543927
internal_test,0.9,2288,0.9471409388501012,0.9947552447552448,0.9958737654267557
internal_test,0.8,2034,0.9727831093989427,0.9965585054080629,0.9965905659026335
internal_test,0.7,1780,0.980554244806738,0.9960674157303371,0.9951903372741742
development_external,1.0,1351,0.2246312591745599,0.7942264988897113,0.47936345934987784
development_external,0.9,1216,0.473025342456685,0.84375,0.5354530674066087
development_external,0.8,1081,0.6606402637337613,0.877890841813136,0.596530527805753
development_external,0.7,946,0.8208722066710321,0.8985200845665962,0.6123851902315013
