cohort,signal,n,rate
val,flag_entropy,392,0.15426997245179064
val,flag_conformal,265,0.1042896497441952
val,flag_low_probability,37,0.014561196379378197
val,flag_non_normal,2049,0.8063754427390791
val,flag_zoonotic,846,0.33293978748524206
val,flag_herd_health,444,0.17473435655253838
val,flag_image_quality,181,0.07123179850452578
internal_test,flag_entropy,417,0.16404405979543665
internal_test,flag_conformal,272,0.10700236034618411
internal_test,flag_low_probability,40,0.015735641227380016
internal_test,flag_non_normal,2067,0.8131392604248623
internal_test,flag_zoonotic,858,0.33752950432730133
internal_test,flag_herd_health,450,0.17702596380802518
internal_test,flag_image_quality,174,0.06845003933910307
development_external,flag_entropy,736,0.5447816432272391
development_external,flag_conformal,652,0.4826054774241303
development_external,flag_low_probability,223,0.16506291635825315
development_external,flag_non_normal,910,0.6735751295336787
development_external,flag_zoonotic,420,0.31088082901554404
development_external,flag_herd_health,166,0.1228719467061436
development_external,flag_image_quality,241,0.17838638045891933
